ID,Neonic,Conc,Group,Lin,HatchDate,IntoPints,PupDate,DeathPreRX,DeathPostRX,TimePostRX,EclosDate,OEScore,Sex,WeightEclos,Day1Amount,Day2Amount,Day3Amount,Day4Amount,Day5Amount,TotalAmount,AverageAmount,Day2Loss,Day3Loss,Day4Loss,Day5Loss,Day2PerLoss,Day3PerLoss,Day4PerLoss,Day5PerLoss,WeightPostCages,SurvivedRX,FeedingDayDeath,DeathResultofRX,DateFirstFeeding,DateIntoCages,Matings,NumberMated,DateInOv,DateOutOV,Eggs,EggScore,Contact,Feeding,Flying,Mating,Notes
57,CL,19,CL025,D,5/12/2019,5/15/2019,5/22/2019,,7/3/2019,29,6/1/2019,0,M,0.6652,0.1369,0.1172,0.1375,-0.0085,0.1446,0.5277,0.10554,0.0584,0.025,0.0393,-0.0196,0.091164533,0.04294057,0.070531228,-0.037845144,0.7026,1,,,6/4/2019,6/14/2019,3,,,,,,0,0,3,1200,
58,CL,19,CL025,D,5/12/2019,5/15/2019,5/22/2019,,7/13/2019,39,6/1/2019,0,F,0.6698,0.0663,0.0922,0.1449,0.1679,0.1427,0.614,0.1228,0.057,0.0373,0.0255,-0.0123,0.090332805,0.064982578,0.047512577,-0.024061033,0.8976,1,,,6/4/2019,6/14/2019,2,,,,,,0,0,0,600,
59,CL,19,CL025,F,5/12/2019,5/14/2019,5/23/2019,,7/10/2019,36,6/1/2019,0,F,0.5719,0.0474,0.0813,0.1064,0.1501,0.1687,0.5539,0.11078,0.0637,0.0428,0.0525,-0.0167,0.115776081,0.087975334,0.118323191,-0.042689162,0.6437,1,,,6/4/2019,6/14/2019,1,,,,,,0,420,65,0,
60,CL,19,CL025,F,5/12/2019,5/14/2019,5/22/2019,,7/13/2019,38,6/1/2019,0,F,0.6049,0.0593,0.0875,0.1115,0.134,0.102,0.4943,0.09886,0.0331,0.0099,0.0114,0.0383,0.064572766,0.020646507,0.02427598,0.083587953,0.7019,1,,,6/5/2019,6/14/2019,3,,,,,,0,305,10,1200,
61,CL,19,CL025,F,5/12/2019,5/14/2019,5/22/2019,,7/6/2019,32,6/1/2019,0,F,0.6695,0.0493,0.1124,0.174,0.1693,0.1934,0.6984,0.13968,0.0558,0.0193,0.061,-0.0194,0.086111111,0.032590341,0.106475825,-0.037898027,0.7314,1,,,6/4/2019,6/14/2019,2,,,,,,0,300,2,0,
62,CL,19,CL025,F,5/12/2019,5/14/2019,5/22/2019,,7/3/2019,29,6/1/2019,0,F,0.6021,0.1516,0.0684,0.0429,0.1319,0.1485,0.5433,0.10866,0.0492,0.0557,0.0391,-0.0003,0.08460877,0.10464024,0.082039446,-0.000685714,0.5674,1,,,6/4/2019,6/14/2019,3,,,,,,120,1200,25,600,
63,CL,19,CL025,F,5/12/2019,5/14/2019,5/22/2019,,7/6/2019,31,6/1/2019,0,F,0.7205,0.0836,0.1339,0.164,0.1192,0.1469,0.6476,0.12952,0.0702,-0.0272,-0.0105,0.0092,0.113207547,-0.049463539,-0.01819442,0.015656909,0.8087,1,,,6/5/2019,6/14/2019,3,,,,,,0,720,60,1200,
64,CL,19,CL025,F,5/12/2019,5/15/2019,5/21/2019,,6/27/2019,23,6/1/2019,0,M,0.6231,0.0592,0.0969,0.1782,0.1549,0.162,0.6512,0.13024,0.0769,0.0253,0.0331,0.0055,0.132792264,0.050378335,0.069406584,0.01239297,0.4854,1,,,6/4/2019,6/14/2019,5,,,,,,8,120,299,600,
65,CL,19,CL025,F,5/12/2019,5/15/2019,5/22/2019,,7/1/2019,27,5/31/2019,0,F,0.6162,0.1422,0.0415,0.1845,0.1807,0.1547,0.7036,0.14072,0.0474,0.0829,0.0046,-0.0371,0.085068198,0.162612789,0.010775357,-0.087852238,0.5787,1,,,6/4/2019,6/14/2019,1,,,,,,0,0,0,0,
66,CL,19,CL025,G,5/12/2019,5/15/2019,5/22/2019,5/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
